Location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Afghanistan,1158.82,1140.879,1125.905,1113.388,1099.79,1093.587,1087.479,1081.025,1073.782,1066.039,1058.081,1045.824,1027.37,1004.462,980.76,955.549,929.748,904.188,878.34,851.349,823.987,794.102,760.731,725.354,690.461,655.614,623.101,594.334,568.454,542.885,517.779,495.388,476.46,459.993,444.272,429.674,414.593,398.068,380.789,364.472,348.847,333.456,318.266,303.402,288.964,274.862,261.715,249.819,238.882,228.287,218.124,208.318,198.76,189.473,180.591,172.084,163.759,155.531,147.453,139.675,132.181,124.872,117.722,110.766,103.994,97.311,91.176,85.787,80.878,76.092,71.625,66.56,60.445,53.755,47.404,41.186,35.637,31.109,27.335,23.691,20.288,17.2,14.395,11.877,9.65,7.684,6.028,4.696,3.638,2.689,2.027,1.582,1.157,0.744,0.461,0.347,0.271,0.186,0.093,0.037,0.037
Africa,40678.839,40128.258,39505.24,38817.749,38187.282,37343.405,36473.329,35583.138,34678.917,33763.534,32839.847,31930.061,31046.729,30186.255,29332.113,28487.137,27673.7,26901.19,26162.697,25440.831,24737.757,24059.792,23407.888,22779.592,22167.961,21570.144,20997.958,20455.215,19933.499,19419.368,18914.05,18404.928,17883.883,17354.28,16831.926,16318.767,15783.85,15215.002,14627.43,14049.083,13474.983,12922.663,12403.908,11911.719,11427.153,10953.809,10499.302,10065.478,9650.834,9249.609,8860.04,8493.938,8155.644,7838.215,7530.189,7233.638,6937.278,6634.265,6328.848,6032.39,5742.957,5455.751,5169.621,4885.801,4607.305,4334.287,4064.775,3798.364,3536.373,3281.043,3032.465,2791.796,2559.991,2337.184,2122.556,1916.343,1721.226,1538.5,1367.392,1205.858,1054.321,913.422,783.246,663.771,554.233,454.077,366.432,292.494,230.493,169.878,124.508,97.132,71.505,46.878,29.769,22.451,17.678,12.397,6.558,3.03,3.788
African Group,40647.976,40096.904,39473.538,38785.829,38155.046,37311.312,36441.429,35551.47,34647.508,33732.423,32809.091,31899.576,31016.372,30155.945,29301.885,28456.995,27643.744,26871.578,26133.53,25412.097,24709.462,24031.949,23380.508,22752.679,22141.513,21544.164,20972.385,20429.944,19908.461,19394.554,18889.431,18380.5,17859.654,17330.244,16808.071,16295.101,15760.286,15191.41,14603.738,14025.304,13451.092,12898.817,12380.357,11888.62,11404.5,10931.651,10477.518,10043.855,9629.253,9228.128,8838.671,8472.822,8134.997,7818.184,7510.773,7214.86,6919.158,6616.803,6312.05,6016.289,5727.585,5441.084,5155.603,4872.406,4594.539,4322.13,4053.312,3787.733,3526.649,3272.196,3024.492,2784.573,2553.324,2330.94,2116.733,1910.915,1716.173,1533.818,1363.073,1201.869,1050.635,910.038,780.176,661.021,551.781,451.905,364.527,290.843,229.08,168.708,123.544,96.309,70.817,46.325,29.294,22.017,17.308,12.117,6.398,2.924,3.654
African Union,40658.741,40108.031,39484.892,38797.291,38166.643,37322.726,36452.619,35562.406,34658.173,33742.798,32819.153,31909.398,31026.075,30165.614,29311.521,28466.618,27653.364,26881.195,26143.153,25421.748,24719.145,24041.725,23390.46,22762.856,22151.907,21554.776,20983.178,20440.859,19919.449,19405.605,18900.532,18391.6,17870.691,17341.167,16818.857,16305.724,15770.719,15201.628,14613.718,14035.026,13460.54,12907.964,12389.173,11897.085,11412.609,10939.395,10484.91,10050.92,9636.007,9234.573,8844.81,8478.666,8140.563,7823.486,7515.815,7219.641,6923.704,6621.152,6316.223,6020.286,5731.417,5444.711,5158.96,4875.454,4597.29,4324.591,4055.493,3789.652,3528.324,3273.633,3025.697,2785.584,2554.196,2331.711,2117.413,1911.515,1716.706,1534.289,1363.487,1202.239,1050.972,910.34,780.437,661.237,551.959,452.049,364.642,290.936,229.155,168.766,123.59,96.346,70.844,46.343,29.306,22.026,17.315,12.122,6.4,2.925,3.655
African Union: Central Africa,5575.854,5441.644,5306.188,5169.683,5045.143,4904.565,4764.15,4623.985,4484.155,4345.347,4208.247,4069.938,3929.306,3788.233,3650.151,3514.869,3383.815,3258.206,3137.93,3020.798,2906.217,2801.24,2708.823,2625.571,2544.834,2467.582,2391.456,2314.485,2237.492,2163.392,2091.773,2019.603,1945.721,1871.134,1798.313,1727.119,1656.458,1586.159,1516.833,1449.226,1383.139,1320.424,1262.062,1207.329,1154.267,1102.993,1054.732,1009.806,967.616,927.185,888.66,851.063,813.781,777.146,742.005,708.08,675.372,643.924,613.556,584.035,555.397,527.181,499.121,471.383,444.429,418.215,392.428,366.979,341.993,317.693,294.041,271.194,249.243,228.141,207.802,188.323,169.432,151.003,133.235,116.455,100.607,86.021,72.896,61.113,50.248,40.277,31.774,24.931,19.466,14.276,10.497,8.13,5.917,3.803,2.337,1.736,1.35,0.935,0.475,0.198,0.217
African Union: Eastern Africa,12101.174,11852.08,11615.531,11389.967,11175.825,10973.041,10774.841,10579.798,10386.49,10195.131,10005.936,9809.263,9600.4,9382.851,9164.657,8944.006,8721.416,8497.898,8272.488,8045.173,7818.267,7581.467,7330.375,7071.15,6814.954,6560.335,6313.565,6079.153,5855.166,5633.59,5414.138,5209.811,5025.692,4855.775,4690.139,4532.133,4368.837,4193.24,4011.921,3837.523,3666.391,3507.364,3365.761,3236.478,3109.55,2987.523,2864.567,2736.962,2607.953,2484.365,2364.675,2250.911,2144.705,2044.734,1947.587,1853.393,1764.229,1680.622,1601.457,1525.112,1451.919,1379.379,1306.081,1232.978,1162.333,1093.552,1026.812,962.386,899.893,839.048,780.304,721.4,661.31,601.288,543.686,488.135,435.817,387.586,343.008,300.628,260.549,224.302,192.429,164.309,138.664,115.639,94.996,76.437,60.011,43.952,32.032,24.973,18.416,12.129,7.823,5.942,4.682,3.286,1.736,0.805,1.028
African Union: Northern Africa,4521.884,4678.5,4766.09,4792.599,4827.312,4712.723,4572.965,4414.65,4244.393,4062.374,3868.768,3702.383,3582.708,3497.049,3411.354,3330.206,3270.391,3236.162,3221.591,3214.567,3215.194,3224.019,3239.332,3259.046,3281.519,3305.543,3326.018,3339.721,3346.665,3350.485,3350.94,3337.668,3306.013,3259.748,3208.892,3153.343,3085.907,3004.626,2913.446,2819.621,2723.315,2626.132,2530.137,2436.196,2342.037,2246.835,2164.235,2100.407,2049.454,1998.632,1949.651,1901.984,1853.823,1805.212,1758.233,1712.713,1663.11,1606.938,1546.191,1485.556,1424.351,1361.834,1298.198,1233.669,1168.832,1104.219,1038.371,970.836,902.821,836.174,770.744,708.534,650.797,597.007,544.781,493.881,448.756,411.149,378.906,348.436,320.833,291.744,258.768,224.023,192.101,162.144,134.854,111.056,90.291,68.611,51.195,40.82,30.767,20.77,13.766,10.591,8.402,5.96,3.27,1.621,2.137
African Union: Southern Africa,5154.573,5132.535,5097.164,5049.455,4989.813,4919.936,4841.635,4755.625,4662.623,4564.561,4463.367,4353.708,4233.895,4108.267,3982.827,3856.337,3739.337,3637.685,3547.413,3458.085,3371.054,3291.109,3219.353,3154.026,3090.731,3028.471,2971.935,2922.403,2876.433,2830.006,2784.778,2728.827,2656.073,2571.74,2488.238,2404.388,2316.742,2225.265,2131.783,2037.847,1942.735,1854.297,1776.485,1706.087,1636.414,1569.346,1501.987,1432.397,1362.623,1295.934,1230.804,1172.746,1124.543,1083.145,1042.761,1004.627,965.303,922.524,877.903,835.281,793.843,753.373,714.132,675.88,638.34,601.838,565.105,527.568,489.982,453.494,417.649,384.476,355.034,328.302,302.346,277.721,253.015,227.388,201.637,177.448,154.55,133.162,113.583,95.708,79.027,63.514,50.135,39.273,30.492,21.769,15.358,11.705,8.348,5.191,2.896,1.947,1.494,1.007,0.477,0.156,0.144
African Union: Western Africa,13305.256,13003.272,12699.919,12395.587,12128.55,11812.461,11499.028,11188.348,10880.512,10575.385,10272.835,9974.106,9679.766,9389.214,9102.532,8821.2,8538.405,8251.244,7963.731,7683.125,7408.413,7143.89,6892.577,6653.063,6419.869,6192.845,5980.204,5785.097,5603.693,5428.132,5258.903,5095.691,4937.192,4782.77,4633.275,4488.741,4342.775,4192.338,4039.735,3890.809,3744.96,3599.747,3454.728,3310.995,3170.341,3032.698,2899.389,2771.348,2648.361,2528.457,2411.02,2301.962,2203.711,2113.249,2025.229,1940.828,1855.69,1767.144,1677.116,1590.302,1505.907,1422.944,1341.428,1261.544,1183.356,1106.767,1032.777,961.883,893.635,827.224,762.959,699.98,637.812,576.973,518.798,463.455,409.686,357.163,306.701,259.272,214.433,175.111,142.761,116.084,91.919,70.475,52.883,39.239,28.895,20.158,14.508,10.718,7.396,4.45,2.484,1.81,1.387,0.934,0.442,0.145,0.129
"African, Caribbean and Pacific (ACP) Group of States",36927.8,36226.304,35519.503,34807.634,34146.076,33413.955,32680.375,31945.001,31207.477,30470.287,29735.941,28989.807,28225.863,27452.284,26684.716,25921.713,25168.421,24429.56,23704.301,22988.153,22283.213,21593.887,20922.296,20268.711,19628.653,18999.883,18401.887,17842.922,17313.138,16792.841,16284.025,15782.774,15284.511,14789.583,14306.818,13839.104,13356.368,12846.033,12322.933,11812.486,11307.128,10834.932,10411.65,10023.36,9641.493,9273.133,8906.147,8532.065,8158.427,7798.969,7448.19,7121.198,6825.991,6553.405,6287.065,6031.182,5771.597,5499.936,5223.064,4955.711,4694.272,4443.038,4205.394,3978.166,3755.185,3538.157,3323.14,3107.712,2894.136,2687.259,2486.241,2291.925,2105.236,1925.761,1752.787,1587.263,1426.853,1270.604,1120.267,978.359,844.122,722.04,614.48,519.535,432.162,352.539,283.806,226.679,179.542,134.781,102.19,81.261,61.253,41.696,28.061,22.095,17.838,13.059,7.697,4.347,7.757
